Player,Pos,Age,Tm,G2018,MP,zAge,zGPlayed,zMP,zFGA,z3PA,zFTA,zTRB,zSTL,zBLK,zPTS,puntASTFV
Rodney McGruder,SG,27,MIA,66,1550,0.26,0.64,0.51,0.12,0.48,-0.29,0.14,0.02,-0.38,-0.03,180.02
Alfonzo McKinnie,SF,26,GSW,72,1003,0.02,0.87,-0.14,-0.37,-0.19,-0.48,0.19,-0.54,-0.28,-0.37,126.53
Khris Middleton,SF,27,MIL,77,2393,0.26,1.07,1.52,1.95,2.04,1.23,1.26,1.39,-0.55,1.82,435.78
C.J. Miles,SF,31,TOT,53,856,1.22,0.14,-0.32,-0.27,0.34,-0.4,-0.58,-0.29,-0.28,-0.36,120.95
Darius Miller,SF,28,NOP,69,1757,0.5,0.76,0.76,0.19,1.35,-0.29,-0.41,0.14,0,0.1,195.8
Patty Mills,PG,30,SAS,82,1908,0.98,1.26,0.94,0.66,1.6,-0.03,-0.14,0.42,-0.45,0.6,259.28
Paul Millsap,PF,33,DEN,70,1895,1.7,0.8,0.92,0.67,0.07,1.16,1.49,1.48,1.07,0.75,294
Donovan Mitchell,SG,22,UTA,77,2598,-0.93,1.07,1.76,2.96,2.32,2.35,0.53,2.19,0.28,2.68,526.25
Malik Monk,SG,20,CHO,73,1258,-1.41,0.91,0.16,0.46,1.14,-0.04,-0.37,0.05,-0.14,0.28,213.3
E'Twaun Moore,SG,29,NOP,53,1463,0.74,0.14,0.41,0.31,0.17,-0.39,-0.42,0.14,-0.52,0.24,183.82
Marcus Morris,PF,29,BOS,75,2091,0.74,0.99,1.16,1.14,1.51,0.54,1.25,0.24,0.07,1.08,342.6
Markieff Morris,PF,29,TOT,58,1270,0.74,0.34,0.18,0.19,0.34,-0.12,0.28,0.02,-0.03,0.06,189.82
Monte Morris,PG,23,DEN,82,1970,-0.69,1.26,1.01,0.76,0.49,-0.21,-0.08,1.17,-0.66,0.68,249.43
Emmanuel Mudiay,PG,22,NYK,59,1607,-0.93,0.37,0.58,0.86,0.38,0.64,-0.07,0.24,-0.14,0.73,253.48
Jamal Murray,PG,21,DEN,75,2447,-1.17,0.99,1.58,2.01,1.66,0.94,0.54,0.98,0.14,1.73,406.38
Mike Muscala,PF,27,TOT,64,1306,0.26,0.57,0.22,-0.14,0.67,-0.18,0.17,-0.42,0.52,-0.14,169.6
Abdel Nader,SF,25,OKC,61,694,-0.21,0.45,-0.51,-0.53,-0.3,-0.58,-0.47,-0.48,-0.38,-0.56,88
Larry Nance Jr.,C,26,CLE,67,1795,0.02,0.68,0.8,0.17,-0.32,0.22,1.72,2.01,0.59,0.23,235.98
Shabazz Napier,PG,27,BRK,56,983,0.26,0.26,-0.17,0.06,0.5,0.25,-0.55,0.17,-0.24,0.03,166.95
Georges Niang,PF,25,UTA,59,516,-0.21,0.37,-0.72,-0.62,-0.27,-0.68,-0.62,-0.79,-0.59,-0.57,79.23
Nerlens Noel,C,24,OKC,77,1055,-0.45,1.07,-0.08,-0.37,-0.93,-0.23,0.58,0.95,2.52,-0.28,145.45
