Player,Pos,Age,Tm,G2018,MP,zAge,zGPlayed,zMP,zFGA,z3PA,zFTA,zTRB,zAST,zSTL,zBLK,zPTS,puntPctFV
T.J. McConnell,PG,26,PHI,76,1470,0.02,1.03,0.42,0.01,-0.67,-0.57,-0.18,1.12,1.35,-0.21,-0.07,178.75
Doug McDermott,SF,27,IND,77,1340,0.26,1.07,0.26,0.02,0.36,-0.23,-0.51,-0.37,-0.54,-0.52,0.1,166.5
JaVale McGee,C,31,LAL,75,1671,1.22,0.99,0.66,0.6,-0.86,0.37,1.79,-0.48,0.36,4.31,0.78,288
Rodney McGruder,SG,27,MIA,66,1550,0.26,0.64,0.51,0.12,0.48,-0.29,0.14,-0.02,0.02,-0.38,-0.03,186.6
Alfonzo McKinnie,SF,26,GSW,72,1003,0.02,0.87,-0.14,-0.37,-0.19,-0.48,0.19,-0.65,-0.54,-0.28,-0.37,126.25
Khris Middleton,SF,27,MIL,77,2393,0.26,1.07,1.52,1.95,2.04,1.23,1.26,1.69,1.39,-0.55,1.82,458.85
C.J. Miles,SF,31,TOT,53,856,1.22,0.14,-0.32,-0.27,0.34,-0.4,-0.58,-0.61,-0.29,-0.28,-0.36,118.92
Darius Miller,SF,28,NOP,69,1757,0.5,0.76,0.76,0.19,1.35,-0.29,-0.41,0.25,0.14,0,0.1,203.18
Patty Mills,PG,30,SAS,82,1908,0.98,1.26,0.94,0.66,1.6,-0.03,-0.14,1.02,0.42,-0.45,0.6,277.22
Paul Millsap,PF,33,DEN,70,1895,1.7,0.8,0.92,0.67,0.07,1.16,1.49,0.21,1.48,1.07,0.75,301.42
Donovan Mitchell,SG,22,UTA,77,2598,-0.93,1.07,1.76,2.96,2.32,2.35,0.53,1.62,2.19,0.28,2.68,543.62
Malik Monk,SG,20,CHO,73,1258,-1.41,0.91,0.16,0.46,1.14,-0.04,-0.37,0.02,0.05,-0.14,0.28,217.12
E'Twaun Moore,SG,29,NOP,53,1463,0.74,0.14,0.41,0.31,0.17,-0.39,-0.42,-0.09,0.14,-0.52,0.24,190.7
Marcus Morris,PF,29,BOS,75,2091,0.74,0.99,1.16,1.14,1.51,0.54,1.25,-0.04,0.24,0.07,1.08,342.18
Markieff Morris,PF,29,TOT,58,1270,0.74,0.34,0.18,0.19,0.34,-0.12,0.28,-0.27,0.02,-0.03,0.06,192.33
Monte Morris,PG,23,DEN,82,1970,-0.69,1.26,1.01,0.76,0.49,-0.21,-0.08,1.42,1.17,-0.66,0.68,278.85
Emmanuel Mudiay,PG,22,NYK,59,1607,-0.93,0.37,0.58,0.86,0.38,0.64,-0.07,0.88,0.24,-0.14,0.73,272.08
Jamal Murray,PG,21,DEN,75,2447,-1.17,0.99,1.58,2.01,1.66,0.94,0.54,1.93,0.98,0.14,1.73,435.82
Mike Muscala,PF,27,TOT,64,1306,0.26,0.57,0.22,-0.14,0.67,-0.18,0.17,-0.3,-0.42,0.52,-0.14,170.57
Abdel Nader,SF,25,OKC,61,694,-0.21,0.45,-0.51,-0.53,-0.3,-0.58,-0.47,-0.73,-0.48,-0.38,-0.56,87.1
Larry Nance Jr.,C,26,CLE,67,1795,0.02,0.68,0.8,0.17,-0.32,0.22,1.72,0.78,2.01,0.59,0.23,256.92
Shabazz Napier,PG,27,BRK,56,983,0.26,0.26,-0.17,0.06,0.5,0.25,-0.55,0.22,0.17,-0.24,0.03,175.68
Georges Niang,PF,25,UTA,59,516,-0.21,0.37,-0.72,-0.62,-0.27,-0.68,-0.62,-0.61,-0.79,-0.59,-0.57,80.38
Nerlens Noel,C,24,OKC,77,1055,-0.45,1.07,-0.08,-0.37,-0.93,-0.23,0.58,-0.54,0.95,2.52,-0.28,149.1
Dirk Nowitzki,PF,40,DAL,51,795,3.37,0.07,-0.39,-0.1,0.35,-0.47,-0.26,-0.61,-0.82,-0.17,-0.29,135.05
Jusuf Nurkić,C,24,POR,72,1974,-0.45,0.87,1.02,1.09,-0.75,2.1,2.71,0.92,1.11,2.76,1.24,383.95
David Nwaba,SG,26,CLE,51,984,0.02,0.07,-0.16,-0.4,-0.46,-0.18,-0.23,-0.47,0.02,-0.21,-0.37,114.4
Royce O'Neale,SF,25,UTA,82,1671,-0.21,1.26,0.66,-0.19,0.17,-0.53,0.38,0.08,0.58,0.03,-0.18,172.93
Semi Ojeleye,PF,24,BOS,56,594,-0.45,0.26,-0.63,-0.68,-0.37,-0.55,-0.62,-0.71,-0.79,-0.66,-0.67,67.55
Jahlil Okafor,C,23,NOP,59,935,-0.69,0.37,-0.22,-0.14,-0.9,-0.15,0.34,-0.58,-0.64,0.59,-0.07,150.35
Elie Okobo,PG,21,PHO,53,958,-1.17,0.14,-0.2,-0.33,-0.1,-0.49,-0.56,0.1,-0.11,-0.55,-0.43,116.62
Josh Okogie,SG,20,MIN,74,1757,-1.41,0.95,0.76,0.25,0.42,0.45,0.04,-0.18,1.63,0.35,0.11,203.65
Kelly Olynyk,PF,27,MIA,79,1812,0.26,1.14,0.82,0.4,1.07,0.63,0.83,0.2,0.55,0.48,0.55,271.02
Cedi Osman,SF,23,CLE,76,2444,-0.69,1.03,1.58,1.14,1.41,0.6,0.74,0.63,0.76,-0.41,0.97,331.32
Kelly Oubre Jr.,SF,23,TOT,69,1935,-0.69,0.76,0.97,1.14,1.19,1.12,0.58,-0.23,1.51,1.24,1.08,325.75
Zaza Pachulia,C,34,DET,68,878,1.93,0.72,-0.29,-0.59,-0.91,0.14,0.28,-0.18,-0.14,-0.21,-0.51,111.57
Jabari Parker,PF,23,TOT,64,1724,-0.69,0.57,0.72,0.89,0.29,0.63,1.06,0.29,0.33,0.24,0.84,299.05
Tony Parker,PG,36,CHO,56,1003,2.41,0.26,-0.14,0.13,-0.61,0.14,-0.64,0.72,-0.45,-0.55,0.03,163.78
Patrick Patterson,PF,29,OKC,63,861,0.74,0.53,-0.31,-0.52,-0.07,-0.63,-0.31,-0.65,-0.6,-0.34,-0.59,94.47
Chris Paul,PG,33,HOU,58,1857,1.7,0.34,0.88,0.81,1.29,0.78,0.28,2.79,2.44,-0.17,0.79,337.05
Mason Plumlee,C,28,DEN,82,1731,0.5,1.26,0.73,0.07,-0.87,0.74,1.58,1,0.95,1.83,0.25,249.3
Jakob Poeltl,C,23,SAS,77,1273,-0.69,1.07,0.18,-0.33,-0.93,-0.12,1.01,-0.16,-0.2,1.55,-0.19,164.95
Quincy Pondexter,SF,30,SAS,53,292,0.98,0.14,-0.99,-0.94,-0.82,-0.53,-0.82,-0.7,-0.76,-0.76,-0.85,34.97
Otto Porter,SF,25,TOT,56,1683,-0.21,0.26,0.67,0.61,0.67,-0.09,0.52,0.05,1.45,0.28,0.54,262.58
Dwight Powell,C,27,DAL,77,1662,0.26,1.07,0.64,0.19,-0.14,1.2,1.01,-0.02,0.27,0.93,0.61,250.95
Norman Powell,SG,25,TOR,60,1126,-0.21,0.41,0.01,-0.04,0.13,-0.26,-0.36,-0.18,0.11,-0.34,-0,163.12
Julius Randle,PF,24,NOP,73,2232,-0.45,0.91,1.32,1.79,0.29,3.1,2.13,0.89,0.52,0.76,2.14,460.3
J.J. Redick,SG,34,PHI,76,2379,1.93,1.03,1.5,1.63,2.86,1.21,-0.12,0.71,-0.11,-0.21,1.75,401.65
Josh Richardson,SG,25,MIA,73,2539,-0.21,0.91,1.69,1.62,1.95,1.01,0.27,1.43,1.35,0.38,1.41,392.72
Austin Rivers,SG,26,TOT,76,2028,0.02,1.03,1.08,0.42,1.12,-0.1,-0.24,0.41,0.36,0,0.21,221.75
Mitchell Robinson,C,20,NYK,66,1360,-1.41,0.64,0.28,-0.33,-0.93,0.23,1.07,-0.6,0.52,4.76,-0.06,182.18
Derrick Rose,PG,30,MIN,51,1392,0.98,0.07,0.32,0.9,-0.02,0.43,-0.35,0.82,-0.14,-0.38,0.82,262.18
Terrence Ross,SG,27,ORL,81,2150,0.26,1.22,1.23,1.63,2.62,0.3,0.35,0.16,1.14,0.21,1.44,385.18
Terry Rozier,PG,24,BOS,79,1791,-0.45,1.14,0.8,0.67,1.18,-0.11,0.49,0.91,1.01,-0.07,0.39,273.45
Ricky Rubio,PG,28,UTA,68,1899,0.5,0.72,0.93,0.84,0.66,0.99,0.17,2.35,1.73,-0.45,0.71,309.38
D'Angelo Russell,PG,22,BRK,81,2448,-0.93,1.22,1.58,2.93,3.05,0.8,0.53,3.49,2.01,-0.1,2.44,562.65
Domantas Sabonis,C,22,IND,74,1838,-0.93,0.95,0.85,0.76,-0.82,1.5,2.42,0.76,0.39,0.24,1.07,337.67
Dario Šarić,PF,24,TOT,81,2023,-0.45,1.22,1.07,0.75,1.09,0.35,1.24,0.1,0.3,-0.48,0.7,297.33
Tomáš Satoranský,PG,27,WAS,80,2164,0.26,1.18,1.24,0.31,0.08,0.43,0.35,2.21,1.45,-0.34,0.39,264.35
Dennis Schröder,PG,25,OKC,79,2314,-0.21,1.14,1.42,1.83,1.35,0.98,0.37,1.62,0.92,-0.38,1.44,394.2
Mike Scott,PF,30,TOT,79,1395,0.98,1.14,0.33,0.02,0.65,-0.6,0.33,-0.37,-0.29,-0.34,-0.12,178.98
Wayne Selden,SG,24,TOT,75,1439,-0.45,0.99,0.38,0.18,0.16,-0.12,-0.15,-0.04,-0.08,-0.34,-0,177.93
Collin Sexton,PG,20,CLE,82,2605,-1.41,1.26,1.77,2.1,0.92,1.21,0.13,1,0.27,-0.59,1.74,400.3
Landry Shamet,SG,21,TOT,79,1802,-1.17,1.14,0.81,0.38,1.55,-0.11,-0.38,0.02,0.05,-0.45,0.42,232.12
Iman Shumpert,SG,28,TOT,62,1481,0.5,0.49,0.43,0.08,0.78,-0.51,-0.13,-0.02,0.73,0.03,-0.1,181.28
Pascal Siakam,PF,24,TOR,80,2548,-0.45,1.18,1.7,1.41,0.41,1.59,1.71,1.04,1.17,1,1.71,413.12
Ben Simmons,PG,22,PHI,79,2700,-0.93,1.14,1.88,1.45,-0.89,2.61,2.45,3.85,2.38,1.31,1.67,465.05
Jonathon Simmons,SG-SF,29,TOT,56,1064,0.74,0.26,-0.07,-0.17,-0.28,-0.08,-0.42,0.11,-0.2,-0.28,-0.31,133.33
Marcus Smart,SG,24,BOS,80,2200,-0.45,1.18,1.29,0.41,1.24,0.18,0.12,1.61,3.34,0.17,0.39,278.22
Dennis Smith Jr.,PG,21,TOT,53,1508,-1.17,0.14,0.46,0.63,0.37,0.4,-0.27,1.07,0.98,-0.1,0.42,243.65
Ish Smith,PG,30,DET,56,1251,0.98,0.26,0.15,0.2,-0.09,-0.37,-0.33,0.69,-0.23,-0.41,-0.03,177.9
Tony Snell,SF,27,MIL,74,1304,0.26,0.95,0.22,-0.14,0.35,-0.53,-0.26,-0.36,-0.29,-0.17,-0.15,152.15
Nik Stauskas,SG,25,TOT,68,1015,-0.21,0.72,-0.13,-0.2,0.25,-0.35,-0.42,-0.26,-0.45,-0.55,-0.24,138.02
Lance Stephenson,SG,28,LAL,68,1123,0.5,0.72,0,0.05,0.3,-0.28,0.03,0.2,0.17,-0.55,-0.05,180.85
Jayson Tatum,SF,20,BOS,79,2455,-1.41,1.14,1.59,1.65,1.02,0.99,1.34,0.42,1.51,1.17,1.48,398.9
Garrett Temple,SG,32,TOT,75,2040,1.46,0.99,1.1,0.21,0.72,-0,0.03,-0.06,1.26,0.24,0.14,208.8
Daniel Theis,C,26,BOS,66,908,0.02,0.64,-0.25,-0.39,-0.51,-0.25,0.08,-0.36,-0.45,0.66,-0.29,131.3
Klay Thompson,SG,28,GSW,78,2652,0.5,1.1,1.82,2.62,2.82,0.41,0.45,0.56,1.51,0.83,2.37,497.08
Sindarius Thornwell,SG,24,LAC,64,313,-0.45,0.57,-0.96,-0.97,-0.84,-0.6,-0.83,-0.75,-0.67,-0.55,-0.93,29.8
Anthony Tolliver,PF,33,MIN,65,1079,1.7,0.6,-0.05,-0.41,0.42,-0.38,-0.16,-0.53,-0.57,-0.07,-0.39,126.53
Karl-Anthony Towns,C,23,MIN,77,2545,-0.69,1.07,1.7,2.39,1.29,2.79,3.74,1.13,0.98,3.52,2.78,594.55
Allonzo Trier,SG,23,NYK,64,1459,-0.69,0.57,0.4,0.28,-0.1,0.94,-0.06,0.04,-0.23,-0.31,0.36,206.9
P.J. Tucker,PF,33,HOU,82,2802,1.7,1.26,2,0.29,1.49,-0.39,1.35,-0.14,3,0.55,0.17,265.9
Evan Turner,PG,30,POR,73,1605,0.98,0.91,0.58,0.08,-0.61,-0.01,0.6,1.31,-0.08,-0.17,-0.05,200.9
Myles Turner,C,22,IND,74,2119,-0.93,0.95,1.19,0.97,0.3,0.77,1.62,0.01,0.76,6.07,0.95,344
Ekpe Udoh,C,31,UTA,51,320,1.22,0.07,-0.96,-0.91,-0.93,-0.63,-0.6,-0.67,-0.79,0.28,-0.81,46.52
Fred VanVleet,PG,24,TOR,64,1760,-0.45,0.57,0.76,0.49,0.92,0.06,-0.21,1.5,0.67,-0.1,0.38,252.98
Noah Vonleh,PF,23,NYK,68,1722,-0.69,0.72,0.72,0.07,-0.07,0.4,1.6,0.12,0.33,0.97,0.11,231.22
Nikola Vučević,C,28,ORL,80,2510,0.5,1.18,1.66,2.49,0.52,0.98,3.77,1.5,1.42,2.28,2.34,556.88
Dwyane Wade,SG,37,MIA,72,1885,2.65,0.87,0.91,1.45,0.7,1.03,0.38,1.45,0.73,0.52,1.16,351.78
Kemba Walker,PG,28,CHO,82,2863,0.5,1.26,2.08,3.37,3.65,2.79,0.76,2.87,2.07,0.38,3.23,640.22
Tyrone Wallace,PG,24,LAC,62,628,-0.45,0.49,-0.59,-0.52,-0.81,-0.41,-0.55,-0.56,-0.45,-0.55,-0.61,77.85
Taurean Prince,SF,24,ATL,55,1552,-0.45,0.22,0.51,0.48,1.04,0.07,-0.05,0.03,0.55,-0.14,0.46,238.93
Russell Westbrook,PG,30,OKC,73,2630,0.98,0.91,1.8,2.81,1.64,2.8,3,5.2,3.31,0.35,2.36,629.6
Derrick White,PG,24,SAS,67,1728,-0.45,0.68,0.72,0.34,-0.04,0.13,0.19,1.16,0.98,0.83,0.3,236.38
Hassan Whiteside,C,29,MIA,72,1674,0.74,0.87,0.66,0.71,-0.83,1.11,3.05,-0.45,0.33,3.9,0.76,323.28
Andrew Wiggins,SF,23,MIN,73,2543,-0.69,0.91,1.69,2.11,1.25,1.54,0.72,0.54,1.07,0.86,1.64,412.8
Lou Williams,SG,32,LAC,75,1993,1.46,0.99,1.04,1.92,0.89,3.08,0.06,2.24,0.67,-0.41,2,432.98
Marvin Williams,PF,32,CHO,75,2133,1.46,0.99,1.21,0.63,1.46,-0.17,0.99,-0.17,1.11,1.31,0.49,282.95
Justise Winslow,SF,22,MIA,66,1959,-0.93,0.64,1,0.89,0.67,0.24,0.73,1.3,1.14,-0.14,0.64,302.82
Delon Wright,PG,26,TOT,75,1699,0.02,0.99,0.69,0.38,0.12,0.35,0.28,1.04,1.63,0.24,0.28,240.45
Thaddeus Young,PF,30,IND,81,2489,0.98,1.22,1.63,1.13,-0.02,0.23,1.58,0.7,2.72,0.45,1.04,345.98
Trae Young,PG,20,ATL,81,2503,-1.41,1.22,1.65,2.23,2.09,2.5,0.46,4.19,1.14,-0.28,2.11,509.38
Ante Žižić,C,22,CLE,59,1082,-0.93,0.37,-0.05,-0.22,-0.93,0.2,0.55,-0.47,-0.7,-0.03,-0.12,149.2
Ivica Zubac,C,21,TOT,59,1040,-1.17,0.37,-0.1,-0.09,-0.93,0.15,0.77,-0.4,-0.67,0.97,0.02,172.35
