Player,Pos,Age,Tm,G2018,MP,FGA,3P,3PA,FTA,TRB,AST,STL,BLK,PTS,puntPctFV
Allonzo Trier,SG,23,NYK,64,1459,518,52,132,223,197,119,28,14,695,206.9
P.J. Tucker,PF,33,HOU,82,2802,523,146,387,59,479,96,132,39,601,265.9
Evan Turner,PG,30,POR,73,1605,443,11,52,106,328,283,33,18,494,200.9
Myles Turner,C,22,IND,74,2119,780,76,196,201,531,115,60,199,984,344
Ekpe Udoh,C,31,UTA,51,320,72,0,0,30,90,28,10,31,119,46.52
Fred VanVleet,PG,24,TOR,64,1760,600,112,296,115,167,307,57,20,701,252.98
Noah Vonleh,PF,23,NYK,68,1722,440,46,137,156,528,129,46,51,571,231.22
Nikola Vučević,C,28,ORL,80,2510,1354,84,231,227,960,307,81,89,1665,556.88
Dwyane Wade,SG,37,MIA,72,1885,960,86,261,233,285,301,59,38,1083,351.78
Kemba Walker,PG,28,CHO,82,2863,1684,260,731,450,361,484,102,34,2102,640.22
Tyrone Wallace,PG,24,LAC,62,628,217,4,19,57,101,42,21,7,218,77.85
Taurean Prince,SF,24,ATL,55,1552,594,123,315,116,199,118,53,19,742,238.93
Russell Westbrook,PG,30,OKC,73,2630,1473,119,411,451,807,784,142,33,1675,629.6
Derrick White,PG,24,SAS,67,1728,543,48,142,123,247,263,67,47,663,236.38
Hassan Whiteside,C,29,MIA,72,1674,680,2,16,243,817,56,46,136,887,323.28
Andrew Wiggins,SF,23,MIN,73,2543,1209,118,348,296,352,184,70,48,1321,412.8
Lou Williams,SG,32,LAC,75,1993,1138,105,291,485,222,402,57,11,1498,432.98
Marvin Williams,PF,32,CHO,75,2133,652,140,382,86,407,92,71,61,756,282.95
Justise Winslow,SF,22,MIA,66,1959,749,96,256,137,355,282,72,19,830,302.82
Delon Wright,PG,26,TOT,75,1699,558,50,168,150,266,248,88,30,653,240.45
Thaddeus Young,PF,30,IND,81,2489,841,51,146,135,523,204,123,36,1024,345.98
Trae Young,PG,20,ATL,81,2503,1256,156,482,414,301,653,72,15,1549,509.38
Ante Žižić,C,22,CLE,59,1082,331,0,0,132,320,53,13,22,459,149.2
Ivica Zubac,C,21,TOT,59,1040,379,0,0,126,362,63,14,51,525,172.35
