Player,Pos,Age,Tm,G,MP,FGA,3P,3PA,2PA,FTA,TRB,AST,STL,BLK,PTS,FV
Chris Chiozza,PG,24,TOT,28,401,140,27,72,68,5,53,83,21,4,142,108.19999999999999
Chris Chiozza,PG,24,WAS,10,123,34,7,16,18,0,15,28,10,2,27,31.349999999999998
Chris Chiozza,PG,24,BRK,18,278,106,20,56,50,5,38,55,11,2,115,76.85
Marquese Chriss,PF,22,GSW,59,1196,385,8,39,346,156,365,114,39,62,548,330.84999999999997
Gary Clark,PF,25,TOT,42,567,133,39,111,22,10,110,17,6,22,156,139.05
Gary Clark,PF,25,HOU,18,212,59,18,51,8,7,40,12,2,7,70,55.25000000000001
Gary Clark,PF,25,ORL,24,355,74,21,60,14,3,70,5,4,15,86,83.80000000000001
Brandon Clarke,PF,23,MEM,58,1300,479,23,64,415,112,345,81,32,48,700,359.35
Jordan Clarkson,SG,27,TOT,71,1705,867,152,413,454,165,187,136,46,16,1078,500.15000000000003
Jordan Clarkson,SG,27,CLE,29,666,326,59,159,167,86,69,70,17,8,423,197.4
Jordan Clarkson,SG,27,UTA,42,1039,541,93,254,287,79,118,66,29,8,655,302.75
Nicolas Claxton,PF,20,BRK,15,187,48,1,7,41,21,44,16,1,8,66,47.7
Chris Clemons,SG,22,HOU,33,291,142,37,107,35,11,30,27,9,6,161,88.6
Antonius Cleveland,SG,25,DAL,11,46,14,0,3,11,5,7,1,1,3,11,11.949999999999998
Amir Coffey,SG,22,LAC,18,159,54,6,19,35,11,16,14,5,2,58,40.85
John Collins,PF,22,ATL,41,1363,605,59,147,458,150,416,60,31,66,885,407.40000000000003
Zach Collins,PF,22,POR,11,290,68,7,19,49,8,69,16,5,5,77,67.80000000000001
Mike Conley,PG,32,UTA,47,1363,567,96,256,311,139,151,208,36,5,675,376.70000000000005
Pat Connaughton,SG,27,MIL,67,1243,301,55,166,135,40,284,107,25,31,360,308.05000000000007
Quinn Cook,PG,26,LAL,44,508,214,31,85,129,14,51,49,12,2,224,135.35
Tyler Cook,PF,22,TOT,13,54,12,0,0,12,8,14,1,3,0,23,15.15
Tyler Cook,PF,22,CLE,11,35,10,0,0,10,6,10,1,1,0,19,10.8
Tyler Cook,PF,22,DEN,2,19,2,0,0,2,2,4,0,2,0,4,4.35
Robert Covington,PF-C,29,TOT,70,2137,723,161,480,243,124,463,88,115,93,870,576.4000000000001
Robert Covington,PF,29,MIN,48,1411,496,108,312,184,94,287,56,80,45,615,383.05000000000007
Robert Covington,C,29,HOU,22,726,227,53,168,59,30,176,32,35,48,255,193.35
Allen Crabbe,SG,27,TOT,37,653,177,36,119,58,14,77,33,15,4,172,152.7
Allen Crabbe,SG,27,ATL,28,522,143,30,93,50,12,65,28,15,4,143,123.4
Allen Crabbe,SG,27,MIN,9,131,34,6,26,8,2,12,5,0,0,29,29.300000000000004
Torrey Craig,SF,29,DEN,58,1072,269,45,138,131,36,189,47,23,36,315,257.15
Jamal Crawford,SG,39,BRK,1,6,4,1,2,2,0,0,3,0,0,5,2.25
Jae Crowder,SF,29,TOT,65,1875,563,135,394,169,125,384,161,72,24,684,491.0999999999999
Jae Crowder,SF,29,MEM,45,1322,399,78,266,133,95,277,125,47,14,447,341.84999999999997
Jae Crowder,SF,29,MIA,20,553,164,57,128,36,30,107,36,25,10,237,149.25
Jarrett Culver,SG,20,MIN,63,1506,569,66,221,348,117,212,110,57,38,580,387.00000000000006
Seth Curry,SG,29,DAL,64,1576,574,145,321,253,97,145,124,38,9,793,421
Stephen Curry,PG,31,GSW,5,139,82,12,49,33,26,26,33,5,2,104,47.65
Troy Daniels,SG,28,TOT,47,532,186,46,132,54,16,52,17,11,3,200,136.45
Troy Daniels,SG,28,LAL,41,456,158,40,112,46,16,46,14,8,3,174,117.35
Troy Daniels,SG,28,DEN,6,76,28,6,20,8,0,6,3,3,0,26,19.100000000000005
Anthony Davis,PF,26,LAL,62,2131,1096,72,218,878,525,577,200,91,143,1618,691
Ed Davis,C,30,UTA,28,303,46,0,0,46,14,105,12,11,9,51,71.45
Terence Davis,SG,22,TOR,72,1209,436,94,242,194,59,237,115,39,14,543,333.19999999999993
Dewayne Dedmon,C,30,TOT,44,774,255,22,107,148,36,249,22,25,41,256,204.09999999999997
Dewayne Dedmon,C,30,SAC,34,541,171,14,71,100,28,167,15,15,26,175,140.95
Dewayne Dedmon,C,30,ATL,10,233,84,8,36,48,8,82,7,10,15,81,63.15
Matthew Dellavedova,PG,29,CLE,57,821,175,21,91,84,37,75,180,20,2,177,194.34999999999997
DeMar DeRozan,SF,30,SAS,68,2316,1049,9,35,1014,451,375,380,70,20,1504,670.1499999999999
Cheick Diallo,C,23,PHO,47,479,142,1,3,139,39,131,22,11,12,219,127.7
Hamidou Diallo,SF,21,OKC,46,896,296,16,57,239,63,167,36,37,9,318,220.4
Gorgui Dieng,C,30,TOT,63,1096,364,54,152,212,101,354,73,51,59,464,310.2
Gorgui Dieng,C,30,MIN,46,778,277,46,120,157,59,256,58,37,42,341,224.39999999999995
Gorgui Dieng,C,30,MEM,17,318,87,8,32,55,42,98,15,14,17,123,85.79999999999998
Spencer Dinwiddie,SG,26,BRK,64,1994,1021,123,400,621,446,221,432,40,21,1318,617.55
Donte DiVincenzo,SG,23,MIL,66,1520,510,83,247,263,86,318,154,85,20,610,407.05
Luka Dončić,PG,20,DAL,61,2047,1255,171,541,714,562,573,538,62,14,1759,745.8000000000001
Luguentz Dort,SG,20,OKC,36,820,218,30,101,117,53,81,27,31,4,244,188.70000000000002
Damyean Dotson,SG,25,NYK,48,836,290,59,163,127,33,91,57,23,4,321,212.4
Sekou Doumbouya,SF,19,DET,38,754,236,28,98,138,46,118,19,20,8,243,181.40000000000006
PJ Dozier,PG,23,DEN,29,412,157,17,49,108,29,55,63,14,6,168,110.19999999999999
Goran Dragić,PG,33,MIA,59,1663,724,124,338,386,246,187,301,40,10,953,485.2
Andre Drummond,C,26,TOT,57,1879,784,5,35,749,294,864,152,109,93,1010,569.35
Andre Drummond,C,26,DET,49,1654,679,1,21,658,255,775,138,97,82,870,499.5
Andre Drummond,C,26,CLE,8,225,105,4,14,91,39,89,14,12,11,140,69.85000000000001
Jared Dudley,SF,34,LAL,45,364,60,18,42,18,2,52,28,15,3,68,84.94999999999997
