Player,Pos,Age,Tm,G2019,GS,MP,FG,FGA,FGpct,3P,3PA,3Ppct,2P,2PA,2Ppct,eFGpct,FT,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,zAge,zGPlayed,zMP,zFG,zFGA,zFGpct,z3P,z3PA,z3Ppct,z2P,z2PA,z2Ppct,zeFGpct,zFT,zFTA,zFTpct,zTRB,zAST,zSTL,zBLK,zPTS,puntPctFV,puntASTFV
Kevin Hervey,PF,23,OKC,10,0,52,7,27,0.259,3,20,0.15,4,7,0.571,0.315,0,0,0,1,11,12,5,1,1,0,4,17,-0.62,-1.43,-1.26,-1.03,-1.01,-1.7,-0.84,-0.81,-1.01,-0.94,-0.96,0.52,-1.78,-0.81,-0.84,-3.34,-1.01,-0.82,-1.1,-0.76,-1.01,9.25,9.55
Mario Hezonja,PF,24,POR,53,4,871,92,218,0.422,24,78,0.308,68,140,0.486,0.477,48,59,0.814,30,154,184,50,36,9,42,107,256,-0.38,0.47,-0.13,-0.47,-0.42,-0.21,-0.45,-0.41,0.08,-0.4,-0.36,-0.17,-0.28,-0.27,-0.31,0.5,0.03,-0.42,0.2,-0.43,-0.45,100.42,103.92
Buddy Hield,SG,27,SAC,72,44,2216,498,1162,0.429,271,688,0.394,227,474,0.479,0.545,115,136,0.846,57,271,328,213,66,17,168,165,1382,0.35,1.31,1.72,2.19,2.48,-0.15,4.04,3.82,0.67,0.95,1.16,-0.22,0.35,0.49,0.4,0.65,0.9,1.02,1.32,-0.11,2.19,437.25,448.28
George Hill,PG,33,MIL,59,2,1271,194,376,0.516,81,176,0.46,113,200,0.565,0.624,85,101,0.842,50,127,177,180,47,5,57,84,554,1.81,0.74,0.42,0.2,0.06,0.65,0.58,0.27,1.13,-0.01,-0.09,0.47,1.08,0.15,0.08,0.63,-0.02,0.73,0.61,-0.59,0.25,181.82,174
Solomon Hill,SF,28,TOT,59,4,1088,110,278,0.396,63,171,0.368,47,107,0.439,0.509,40,54,0.741,29,136,165,104,43,12,51,85,323,0.59,0.74,0.17,-0.35,-0.24,-0.45,0.26,0.24,0.49,-0.58,-0.51,-0.55,0.02,-0.36,-0.35,0.15,-0.09,0.06,0.46,-0.31,-0.29,129.3,129
Jaylen Hoard,SF,20,POR,13,0,103,15,32,0.469,0,3,0,15,29,0.517,0.469,8,13,0.615,14,18,32,4,5,0,4,12,38,-1.35,-1.3,-1.19,-0.98,-1,0.22,-0.89,-0.93,-2.04,-0.85,-0.86,0.09,-0.35,-0.72,-0.72,-0.44,-0.89,-0.83,-0.95,-0.8,-0.96,14.53,15.35
Aaron Holiday,PG,23,IND,66,33,1617,233,563,0.414,87,221,0.394,146,342,0.427,0.491,74,87,0.851,22,134,156,225,55,16,88,120,627,-0.62,1.05,0.9,0.46,0.64,-0.28,0.69,0.59,0.67,0.27,0.56,-0.64,-0.15,0.03,-0.05,0.67,-0.14,1.13,0.91,-0.15,0.42,218.05,205.48
Jrue Holiday,SG,29,NOP,61,61,2117,458,1006,0.455,122,346,0.353,336,660,0.509,0.516,129,182,0.709,77,216,293,408,99,48,184,145,1167,0.83,0.82,1.58,1.93,2,0.09,1.33,1.45,0.39,1.88,2.01,0.02,0.08,0.65,0.82,0,0.69,2.75,2.55,1.15,1.69,391.1,367.35
Justin Holiday,SG,30,IND,73,6,1826,208,486,0.428,134,331,0.405,74,155,0.477,0.566,53,67,0.791,32,206,238,93,87,46,44,137,603,1.08,1.36,1.18,0.29,0.4,-0.16,1.55,1.35,0.75,-0.35,-0.29,-0.24,0.55,-0.21,-0.23,0.39,0.35,-0.04,2.1,1.07,0.36,219.08,230.02
Rondae Hollis-Jefferson,SF,25,TOR,60,6,1122,155,329,0.471,3,23,0.13,152,306,0.497,0.476,105,143,0.734,110,173,283,106,46,23,59,115,418,-0.14,0.78,0.21,-0.06,-0.08,0.24,-0.84,-0.79,-1.15,0.32,0.4,-0.08,-0.29,0.38,0.46,0.12,0.63,0.07,0.57,0.14,-0.07,151.93,151.7
Richaun Holmes,C,26,SAC,44,38,1242,223,344,0.648,0,0,0,223,344,0.648,0.648,93,118,0.788,127,231,358,42,41,56,52,169,539,0.11,0.07,0.38,0.39,-0.04,1.85,-0.89,-0.95,-2.04,0.92,0.57,1.15,1.31,0.24,0.23,0.38,1.08,-0.49,0.39,1.48,0.21,170.15,179.22
Rodney Hood,SF,27,POR,21,21,619,87,172,0.506,35,71,0.493,52,101,0.515,0.608,21,27,0.778,10,62,72,32,17,4,19,46,230,0.35,-0.94,-0.48,-0.5,-0.56,0.56,-0.25,-0.45,1.36,-0.53,-0.54,0.07,0.94,-0.57,-0.6,0.33,-0.65,-0.58,-0.51,-0.63,-0.51,70.88,72.52
Al Horford,C,33,PHI,67,61,2025,319,709,0.45,99,283,0.35,220,426,0.516,0.52,61,80,0.763,103,353,456,270,52,61,80,142,798,1.81,1.09,1.46,1.02,1.09,0.05,0.91,1.02,0.37,0.9,0.94,0.08,0.12,-0.12,-0.11,0.26,1.67,1.53,0.8,1.68,0.82,306.6,298.62
Talen Horton-Tucker,SG,19,LAL,6,1,81,14,30,0.467,4,13,0.308,10,17,0.588,0.533,2,4,0.5,2,5,7,6,8,1,6,10,34,-1.59,-1.61,-1.22,-0.98,-1,0.2,-0.82,-0.86,0.08,-0.89,-0.92,0.66,0.24,-0.79,-0.81,-0.98,-1.04,-0.81,-0.84,-0.76,-0.97,11.6,11.77
Danuel House,SF,26,HOU,63,52,1913,230,539,0.427,129,355,0.363,101,184,0.549,0.546,73,90,0.811,57,210,267,85,67,34,54,132,662,0.11,0.91,1.3,0.44,0.56,-0.16,1.46,1.51,0.46,-0.12,-0.16,0.34,0.36,0.02,-0.02,0.48,0.53,-0.11,1.35,0.58,0.5,230.9,243.83
Dwight Howard,C,34,LAL,69,2,1306,202,277,0.729,3,5,0.6,199,272,0.732,0.735,110,214,0.514,172,335,507,45,31,79,84,222,517,2.05,1.18,0.47,0.25,-0.24,2.59,-0.84,-0.91,2.09,0.72,0.24,1.83,2.11,0.43,1.11,-0.92,1.98,-0.47,0.01,2.41,0.16,186.15,201.5
William Howard,PF,26,HOU,2,0,13,0,4,0,0,4,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,1,0,0.11,-1.78,-1.32,-1.07,-1.08,-4.06,-0.89,-0.92,-2.04,-0.98,-1,-4.1,-4.7,-0.81,-0.84,-3.34,-1.08,-0.86,-1.14,-0.8,-1.05,1.12,1.15
Kevin Huerter,SG,21,ATL,56,48,1760,252,610,0.413,127,334,0.38,125,276,0.453,0.517,53,64,0.828,35,193,228,213,51,27,87,139,684,-1.11,0.6,1.09,0.58,0.78,-0.29,1.42,1.37,0.58,0.09,0.26,-0.43,0.09,-0.21,-0.26,0.57,0.29,1.02,0.76,0.3,0.55,246.57,240.72
De'Andre Hunter,SF,22,ATL,63,62,2018,280,683,0.41,108,304,0.355,172,379,0.454,0.489,110,144,0.764,44,242,286,112,44,18,103,182,778,-0.86,0.91,1.45,0.76,1.01,-0.32,1.08,1.16,0.4,0.49,0.73,-0.42,-0.17,0.43,0.47,0.26,0.65,0.13,0.5,-0.07,0.77,257.38,265.97
Chandler Hutchison,SF,23,CHI,28,10,527,80,175,0.457,12,38,0.316,68,137,0.496,0.491,46,78,0.59,18,90,108,26,27,7,27,47,218,-0.62,-0.63,-0.61,-0.55,-0.56,0.11,-0.67,-0.68,0.14,-0.4,-0.37,-0.08,-0.15,-0.29,-0.13,-0.56,-0.43,-0.63,-0.13,-0.51,-0.54,72.9,76.4
Serge Ibaka,C,30,TOR,55,27,1485,343,670,0.512,70,182,0.385,273,488,0.559,0.564,89,124,0.718,114,338,452,77,28,46,109,153,845,1.08,0.56,0.71,1.18,0.97,0.61,0.38,0.32,0.61,1.35,1.22,0.43,0.53,0.2,0.29,0.05,1.65,-0.18,-0.1,1.07,0.93,271.33,284.25
Andre Iguodala,SG,36,MIA,21,0,418,38,88,0.432,14,47,0.298,24,41,0.585,0.511,6,15,0.4,17,61,78,51,14,21,26,35,96,2.53,-0.94,-0.76,-0.82,-0.82,-0.12,-0.64,-0.62,0.01,-0.77,-0.81,0.64,0.04,-0.74,-0.71,-1.46,-0.61,-0.41,-0.62,0.06,-0.82,47,45.35
Ersan İlyasova,PF,32,MIL,63,8,986,146,313,0.466,50,137,0.365,96,176,0.545,0.546,72,87,0.828,62,240,302,49,24,17,34,95,414,1.56,0.91,0.02,-0.12,-0.13,0.19,0.02,0,0.47,-0.16,-0.2,0.31,0.36,0.01,-0.05,0.57,0.74,-0.43,-0.25,-0.11,-0.08,150.8,160.1
Joe Ingles,SF,32,UTA,72,45,2137,246,553,0.445,141,353,0.399,105,200,0.525,0.572,74,94,0.787,27,251,278,373,65,11,142,154,707,1.56,1.31,1.61,0.54,0.61,-0,1.68,1.5,0.71,-0.08,-0.09,0.15,0.6,0.03,0.01,0.37,0.6,2.44,1.28,-0.35,0.61,274.05,250.98
Brandon Ingram,PF,22,NOP,62,62,2104,507,1096,0.463,150,384,0.391,357,712,0.501,0.531,313,368,0.851,51,329,380,259,61,38,189,179,1477,-0.86,0.87,1.57,2.25,2.28,0.16,1.84,1.72,0.65,2.06,2.24,-0.04,0.22,2.73,2.51,0.67,1.21,1.43,1.13,0.75,2.41,434.52,436.67
Kyrie Irving,PG,27,BRK,20,20,658,199,416,0.478,56,142,0.394,143,274,0.522,0.546,94,102,0.922,22,81,103,128,27,10,52,53,548,0.35,-0.99,-0.43,0.23,0.19,0.3,0.13,0.04,0.67,0.24,0.25,0.13,0.36,0.25,0.09,1.01,-0.46,0.27,-0.13,-0.39,0.24,160.35,155.35
Jonathan Isaac,SF,22,ORL,34,32,980,156,332,0.47,32,94,0.34,124,238,0.521,0.518,60,77,0.779,58,173,231,48,53,78,49,83,404,-0.86,-0.37,0.02,-0.05,-0.07,0.23,-0.31,-0.3,0.3,0.08,0.09,0.12,0.1,-0.13,-0.14,0.33,0.31,-0.44,0.83,2.37,-0.1,147.32,155.45
Wesley Iwundu,SF,25,ORL,52,21,953,97,233,0.416,28,82,0.341,69,151,0.457,0.476,78,97,0.804,24,107,131,60,25,13,26,80,300,-0.14,0.43,-0.02,-0.44,-0.38,-0.27,-0.38,-0.38,0.31,-0.39,-0.31,-0.4,-0.29,0.07,0.04,0.45,-0.29,-0.33,-0.21,-0.27,-0.35,102.65,104.55
Frank Jackson,PG,21,NOP,59,2,797,134,331,0.405,47,144,0.326,87,187,0.465,0.476,56,75,0.747,22,61,83,61,17,4,49,77,371,-1.11,0.74,-0.24,-0.19,-0.08,-0.37,-0.03,0.05,0.2,-0.24,-0.15,-0.34,-0.29,-0.18,-0.16,0.18,-0.58,-0.32,-0.51,-0.63,-0.18,118.3,119.92
Jaren Jackson Jr.,C,20,MEM,57,57,1622,353,753,0.469,145,368,0.394,208,385,0.54,0.565,139,186,0.747,55,207,262,78,40,92,99,232,990,-1.35,0.65,0.9,1.24,1.22,0.22,1.75,1.61,0.67,0.79,0.76,0.27,0.54,0.76,0.85,0.18,0.5,-0.17,0.35,2.94,1.27,299.88,317.45
Josh Jackson,SG,22,MEM,22,0,381,70,159,0.44,23,72,0.319,47,87,0.54,0.513,35,50,0.7,11,55,66,35,18,9,28,40,198,-0.86,-0.9,-0.81,-0.61,-0.6,-0.05,-0.47,-0.45,0.16,-0.58,-0.6,0.27,0.05,-0.41,-0.39,-0.04,-0.69,-0.55,-0.47,-0.43,-0.59,65.45,67.03
Justin Jackson,PF,24,DAL,65,3,1045,135,341,0.396,48,163,0.294,87,178,0.489,0.466,42,50,0.84,27,127,154,52,15,10,14,69,360,-0.38,1,0.11,-0.19,-0.04,-0.45,-0.02,0.18,-0.02,-0.24,-0.19,-0.14,-0.38,-0.33,-0.39,0.62,-0.15,-0.4,-0.58,-0.39,-0.21,127.05,131.55
Reggie Jackson,PG,29,TOT,31,16,743,134,326,0.411,57,145,0.393,77,181,0.425,0.498,45,54,0.833,17,75,92,126,13,5,51,59,370,0.83,-0.5,-0.31,-0.19,-0.09,-0.31,0.15,0.06,0.67,-0.32,-0.17,-0.66,-0.08,-0.3,-0.35,0.59,-0.53,0.25,-0.66,-0.59,-0.18,124.98,118.38
Justin James,SG,23,SAC,36,0,232,35,84,0.417,9,29,0.31,26,55,0.473,0.47,10,21,0.476,6,26,32,18,6,9,8,17,89,-0.62,-0.28,-1.02,-0.84,-0.84,-0.26,-0.73,-0.75,0.09,-0.75,-0.75,-0.27,-0.34,-0.69,-0.65,-1.1,-0.89,-0.71,-0.92,-0.43,-0.84,33.23,33.62
LeBron James,PG,35,LAL,67,67,2316,643,1303,0.493,148,425,0.348,495,878,0.564,0.55,264,381,0.693,66,459,525,684,78,36,261,118,1698,2.29,1.09,1.86,3.15,2.92,0.44,1.8,2,0.36,3.23,3,0.47,0.4,2.17,2.63,-0.07,2.09,5.19,1.76,0.66,2.93,558.52,512.85
Amile Jefferson,PF,26,ORL,18,0,74,5,14,0.357,0,0,0,5,14,0.357,0.357,5,14,0.357,10,13,23,4,1,3,3,7,15,0.11,-1.07,-1.23,-1.04,-1.05,-0.8,-0.89,-0.95,-2.04,-0.93,-0.93,-1.21,-1.39,-0.75,-0.72,-1.66,-0.95,-0.83,-1.1,-0.67,-1.01,8.85,9.38
DaQuan Jeffries,SG,22,SAC,13,0,141,20,40,0.5,5,18,0.278,15,22,0.682,0.563,5,6,0.833,3,15,18,7,4,1,2,19,50,-0.86,-1.3,-1.14,-0.94,-0.97,0.5,-0.8,-0.82,-0.13,-0.85,-0.9,1.42,0.52,-0.75,-0.79,0.59,-0.98,-0.8,-0.99,-0.76,-0.93,16.52,16.95
Ty Jerome,PG,22,PHO,31,0,328,38,113,0.336,14,50,0.28,24,63,0.381,0.398,12,16,0.75,7,39,46,44,15,3,18,29,102,-0.86,-0.5,-0.88,-0.82,-0.75,-1,-0.64,-0.6,-0.11,-0.77,-0.71,-1.01,-1.01,-0.67,-0.7,0.2,-0.81,-0.47,-0.58,-0.67,-0.81,44.17,42.27
Alize Johnson,SF,23,IND,17,1,118,12,29,0.414,3,8,0.375,9,21,0.429,0.466,7,10,0.7,16,32,48,7,3,2,7,12,34,-0.62,-1.12,-1.17,-1,-1,-0.28,-0.84,-0.89,0.54,-0.9,-0.9,-0.63,-0.38,-0.73,-0.75,-0.04,-0.8,-0.8,-1.03,-0.72,-0.97,16.88,17.85
B.J. Johnson,SF,24,ORL,10,0,83,9,32,0.281,3,9,0.333,6,23,0.261,0.328,9,10,0.9,3,12,15,3,3,0,6,3,30,-0.38,-1.43,-1.22,-1.01,-1,-1.5,-0.84,-0.88,0.25,-0.92,-0.89,-1.99,-1.66,-0.71,-0.75,0.91,-1,-0.84,-1.03,-0.8,-0.98,11.33,11.95
Cameron Johnson,PF,23,PHO,57,9,1255,176,405,0.435,106,272,0.39,70,133,0.526,0.565,46,57,0.807,49,138,187,69,36,20,32,88,504,-0.62,0.65,0.4,0.08,0.15,-0.09,1.04,0.94,0.65,-0.38,-0.39,0.16,0.54,-0.29,-0.32,0.47,0.05,-0.25,0.2,0.02,0.13,172.4,180.72
James Johnson,PF,32,TOT,32,1,619,103,215,0.479,33,91,0.363,70,124,0.565,0.556,31,48,0.646,25,93,118,74,25,32,48,80,270,1.56,-0.46,-0.48,-0.4,-0.43,0.31,-0.29,-0.32,0.46,-0.38,-0.43,0.47,0.45,-0.46,-0.41,-0.29,-0.37,-0.21,-0.21,0.5,-0.42,97.82,97.25
Keldon Johnson,SF,20,SAS,17,1,301,53,89,0.596,13,22,0.591,40,67,0.597,0.669,35,44,0.795,10,47,57,15,14,2,13,28,154,-1.35,-1.12,-0.92,-0.73,-0.82,1.38,-0.65,-0.79,2.03,-0.64,-0.69,0.73,1.5,-0.41,-0.44,0.41,-0.74,-0.73,-0.62,-0.72,-0.69,43.93,45.85
Stanley Johnson,PF,23,TOR,25,0,150,22,59,0.373,7,24,0.292,15,35,0.429,0.432,9,16,0.563,7,30,37,20,6,4,15,16,60,-0.62,-0.77,-1.13,-0.93,-0.91,-0.66,-0.76,-0.78,-0.03,-0.85,-0.84,-0.63,-0.7,-0.71,-0.7,-0.69,-0.86,-0.69,-0.92,-0.63,-0.91,25.95,25.8
Tyler Johnson,SG,27,TOT,39,7,709,97,250,0.388,38,119,0.319,59,131,0.45,0.464,42,50,0.84,18,58,76,74,16,9,29,58,274,0.35,-0.15,-0.36,-0.44,-0.32,-0.52,-0.2,-0.12,0.16,-0.47,-0.4,-0.46,-0.4,-0.33,-0.39,0.62,-0.63,-0.21,-0.54,-0.43,-0.41,95.05,93.5
Nikola Jokić,C,24,DEN,73,73,2336,565,1071,0.528,80,255,0.314,485,816,0.594,0.565,246,301,0.817,166,545,711,512,85,44,226,222,1456,-0.38,1.36,1.89,2.63,2.2,0.76,0.57,0.82,0.12,3.15,2.72,0.71,0.54,1.97,1.9,0.51,3.22,3.67,2.03,0.99,2.36,491.85,464.75
Damian Jones,C,24,ATL,55,27,887,121,178,0.68,2,9,0.222,119,169,0.704,0.685,62,84,0.738,74,132,206,35,26,40,28,149,306,-0.38,0.56,-0.11,-0.28,-0.55,2.15,-0.85,-0.88,-0.51,0.04,-0.23,1.6,1.65,-0.11,-0.08,0.14,0.16,-0.55,-0.17,0.83,-0.33,101.3,106.1
Derrick Jones Jr.,SF,22,MIA,59,16,1375,184,349,0.527,37,132,0.28,147,217,0.677,0.58,95,123,0.772,66,167,233,62,58,38,30,130,500,-0.86,0.74,0.56,0.13,-0.02,0.75,-0.22,-0.03,-0.11,0.27,-0.01,1.38,0.68,0.27,0.28,0.3,0.32,-0.32,1.02,0.75,0.12,164.07,171.85
Tyus Jones,PG,23,MEM,65,6,1232,197,429,0.459,47,124,0.379,150,305,0.492,0.514,43,58,0.741,9,94,103,285,59,6,55,44,484,-0.62,1,0.36,0.22,0.23,0.13,-0.03,-0.09,0.57,0.3,0.39,-0.12,0.06,-0.32,-0.31,0.15,-0.46,1.66,1.06,-0.55,0.09,177.25,151.55
DeAndre Jordan,C,31,BRK,56,6,1234,191,287,0.666,0,0,0,191,287,0.666,0.666,83,122,0.68,141,420,561,105,18,52,74,114,465,1.32,0.6,0.37,0.18,-0.21,2.02,-0.89,-0.95,-2.04,0.65,0.31,1.29,1.47,0.13,0.27,-0.13,2.31,0.07,-0.47,1.31,0.04,186.08,191.78
Cory Joseph,PG,28,SAC,72,26,1759,171,412,0.415,56,159,0.352,115,253,0.455,0.483,60,70,0.857,44,144,188,251,53,21,80,133,458,0.59,1.31,1.09,0.05,0.17,-0.27,0.13,0.16,0.38,0,0.15,-0.42,-0.22,-0.13,-0.21,0.7,0.05,1.36,0.83,0.06,0.02,183.28,165.57
Mfiondu Kabengele,C,22,LAC,12,0,64,14,32,0.438,9,20,0.45,5,12,0.417,0.578,5,5,1,1,10,11,2,2,2,2,9,42,-0.86,-1.34,-1.25,-0.98,-1,-0.06,-0.73,-0.81,1.06,-0.93,-0.94,-0.72,0.66,-0.75,-0.8,1.38,-1.02,-0.85,-1.07,-0.72,-0.95,13.5,14.47
Frank Kaminsky,C,26,PHO,39,13,777,138,307,0.45,41,124,0.331,97,183,0.53,0.516,61,90,0.678,35,141,176,75,14,10,37,75,378,0.11,-0.15,-0.26,-0.17,-0.15,0.05,-0.14,-0.09,0.24,-0.15,-0.16,0.19,0.08,-0.12,-0.02,-0.14,-0.02,-0.2,-0.62,-0.39,-0.16,127.8,129.8
Enes Kanter,C,27,BOS,58,7,983,199,348,0.572,1,7,0.143,198,341,0.581,0.573,70,99,0.707,163,268,431,56,22,41,56,100,469,0.35,0.69,0.02,0.23,-0.02,1.16,-0.87,-0.9,-1.06,0.71,0.56,0.6,0.61,-0.02,0.06,-0.01,1.52,-0.37,-0.32,0.87,0.05,169.45,177.48
Luke Kennard,SG,23,DET,28,25,922,151,342,0.442,73,183,0.399,78,159,0.491,0.548,67,75,0.893,9,89,98,115,12,6,43,65,442,-0.62,-0.63,-0.06,-0.08,-0.04,-0.03,0.44,0.32,0.71,-0.31,-0.27,-0.12,0.38,-0.05,-0.16,0.87,-0.49,0.15,-0.69,-0.55,-0.01,138.75,135.55
Stanton Kidd,SF,27,UTA,4,0,15,0,3,0,0,1,0,0,2,0,0,0,0,0,0,3,3,1,0,0,2,3,0,0.35,-1.69,-1.31,-1.07,-1.08,-4.06,-0.89,-0.94,-2.04,-0.98,-0.99,-4.1,-4.7,-0.81,-0.84,-3.34,-1.07,-0.86,-1.14,-0.8,-1.05,1.15,1.12
Michael Kidd-Gilchrist,SF-PF,26,TOT,25,0,281,22,66,0.333,5,20,0.25,17,46,0.37,0.371,11,14,0.786,14,53,67,14,2,6,16,37,60,0.11,-0.77,-0.95,-0.93,-0.89,-1.02,-0.8,-0.81,-0.32,-0.83,-0.79,-1.1,-1.26,-0.68,-0.72,0.37,-0.68,-0.74,-1.07,-0.55,-0.91,28.95,30.05
Louis King,SF,20,DET,10,0,62,8,21,0.381,4,11,0.364,4,10,0.4,0.476,0,3,0,1,9,10,5,2,0,2,10,20,-1.35,-1.43,-1.25,-1.02,-1.03,-0.58,-0.82,-0.87,0.47,-0.94,-0.95,-0.86,-0.29,-0.81,-0.82,-3.34,-1.03,-0.82,-1.07,-0.8,-1,8.5,8.62
Maxi Kleber,C,28,DAL,74,21,1890,237,514,0.461,119,319,0.373,118,195,0.605,0.577,79,93,0.849,112,276,388,88,25,83,58,176,672,0.59,1.4,1.27,0.48,0.49,0.15,1.28,1.27,0.53,0.03,-0.11,0.8,0.65,0.08,0,0.66,1.26,-0.09,-0.21,2.57,0.53,244.12,258.8
Brandon Knight,PG,28,TOT,25,3,462,59,167,0.353,45,131,0.344,14,36,0.389,0.488,20,34,0.588,4,37,41,69,10,3,38,40,183,0.59,-0.77,-0.7,-0.69,-0.58,-0.84,-0.07,-0.04,0.33,-0.86,-0.83,-0.95,-0.18,-0.58,-0.53,-0.57,-0.84,-0.25,-0.77,-0.67,-0.62,68.72,66.7
Kevin Knox,SF,20,NYK,65,4,1166,144,401,0.359,65,199,0.327,79,202,0.391,0.44,66,101,0.653,28,156,184,61,23,28,45,106,419,-1.35,1,0.27,-0.13,0.14,-0.79,0.29,0.43,0.21,-0.3,-0.08,-0.93,-0.62,-0.06,0.08,-0.26,0.03,-0.32,-0.28,0.34,-0.07,153.33,160.7
John Konchar,SG,23,MEM,19,0,181,24,37,0.649,5,10,0.5,19,27,0.704,0.716,1,2,0.5,18,29,47,22,7,3,7,7,54,-0.62,-1.03,-1.09,-0.92,-0.98,1.86,-0.8,-0.88,1.4,-0.81,-0.87,1.6,1.94,-0.8,-0.83,-0.98,-0.8,-0.67,-0.88,-0.67,-0.92,22.8,21.9
Furkan Korkmaz,SG,22,PHI,72,12,1559,242,563,0.43,143,356,0.402,99,207,0.478,0.557,77,102,0.755,18,150,168,79,41,16,59,98,704,-0.86,1.31,0.82,0.51,0.64,-0.14,1.71,1.52,0.73,-0.13,-0.05,-0.23,0.46,0.06,0.09,0.22,-0.07,-0.16,0.39,-0.15,0.6,222.35,233.13
Luke Kornet,C,24,CHI,36,14,559,82,187,0.439,31,108,0.287,51,79,0.646,0.521,20,28,0.714,22,62,84,32,11,26,14,54,215,-0.38,-0.28,-0.56,-0.54,-0.52,-0.06,-0.33,-0.2,-0.06,-0.54,-0.64,1.13,0.13,-0.58,-0.59,0.03,-0.58,-0.58,-0.73,0.26,-0.55,76.6,79.8
Kyle Korver,SF,38,MIL,58,1,960,126,293,0.43,99,237,0.418,27,56,0.482,0.599,35,41,0.854,15,107,122,68,26,12,48,78,386,3.02,0.69,-0.01,-0.25,-0.19,-0.14,0.91,0.7,0.84,-0.75,-0.74,-0.2,0.85,-0.41,-0.47,0.69,-0.35,-0.26,-0.17,-0.31,-0.14,133.18,138.1
Rodions Kurucs,PF,21,BRK,47,9,684,79,177,0.446,33,90,0.367,46,87,0.529,0.54,24,38,0.632,25,112,137,51,25,5,46,90,215,-1.11,0.21,-0.39,-0.56,-0.55,0.01,-0.29,-0.32,0.49,-0.58,-0.6,0.18,0.3,-0.54,-0.5,-0.36,-0.26,-0.41,-0.21,-0.59,-0.55,84.1,85.93
Kyle Kuzma,PF,24,LAL,61,9,1526,291,668,0.436,86,272,0.316,205,396,0.518,0.5,114,155,0.735,52,221,273,80,28,26,91,126,782,-0.38,0.82,0.77,0.84,0.96,-0.08,0.68,0.94,0.14,0.77,0.81,0.09,-0.07,0.48,0.57,0.13,0.57,-0.16,-0.1,0.26,0.78,246.07,257.08
Skal Labissière,C,23,POR,33,1,567,81,147,0.551,3,13,0.231,78,134,0.582,0.561,25,33,0.758,65,104,169,42,7,31,30,89,190,-0.62,-0.41,-0.55,-0.54,-0.64,0.97,-0.84,-0.86,-0.45,-0.31,-0.39,0.61,0.5,-0.53,-0.54,0.23,-0.06,-0.49,-0.88,0.46,-0.6,73.82,74.97
Jeremy Lamb,SG,27,IND,46,42,1291,216,479,0.451,53,158,0.335,163,321,0.508,0.506,92,110,0.836,24,176,200,96,55,22,50,104,577,0.35,0.16,0.45,0.34,0.38,0.05,0.07,0.15,0.27,0.41,0.46,0.01,-0.01,0.23,0.16,0.6,0.12,-0.01,0.91,0.1,0.3,186.05,189
Romeo Langford,SG,20,BOS,32,2,370,28,80,0.35,5,27,0.185,23,53,0.434,0.381,18,25,0.72,15,26,41,13,8,8,11,33,79,-1.35,-0.46,-0.82,-0.89,-0.85,-0.87,-0.8,-0.76,-0.77,-0.78,-0.76,-0.59,-1.17,-0.6,-0.62,0.06,-0.84,-0.75,-0.84,-0.47,-0.86,31.5,32.72
Zach LaVine,SG,24,CHI,60,60,2085,539,1199,0.45,184,484,0.38,355,715,0.497,0.526,268,334,0.802,41,248,289,254,88,28,206,131,1530,-0.38,0.78,1.54,2.46,2.6,0.05,2.46,2.41,0.58,2.04,2.26,-0.08,0.18,2.22,2.2,0.44,0.66,1.38,2.14,0.34,2.54,448.98,452.4
Vic Law,SF,24,ORL,8,0,62,6,18,0.333,1,7,0.143,5,11,0.455,0.361,2,6,0.333,2,9,11,3,2,0,2,6,15,-0.38,-1.52,-1.25,-1.03,-1.04,-1.02,-0.87,-0.9,-1.06,-0.93,-0.95,-0.42,-1.36,-0.79,-0.79,-1.77,-1.02,-0.84,-1.07,-0.8,-1.01,6.88,7.18
Jake Layman,PF,25,MIN,23,2,505,81,179,0.453,24,72,0.333,57,107,0.533,0.52,24,32,0.75,17,40,57,15,17,10,24,47,210,-0.14,-0.85,-0.64,-0.54,-0.54,0.07,-0.45,-0.45,0.25,-0.49,-0.51,0.22,0.12,-0.54,-0.55,0.2,-0.74,-0.73,-0.51,-0.39,-0.56,65.05,68.47
T.J. Leaf,PF,22,IND,28,1,222,36,86,0.419,5,18,0.278,31,68,0.456,0.448,7,16,0.438,23,48,71,9,10,4,8,22,84,-0.86,-0.63,-1.03,-0.84,-0.83,-0.24,-0.8,-0.82,-0.13,-0.71,-0.69,-0.41,-0.55,-0.73,-0.7,-1.28,-0.66,-0.78,-0.77,-0.63,-0.85,34.75,36.73
Jalen Lecque,PG,19,PHO,5,0,32,4,10,0.4,0,4,0,4,6,0.667,0.4,2,2,1,0,2,2,2,0,0,2,3,10,-1.59,-1.65,-1.29,-1.05,-1.06,-0.41,-0.89,-0.92,-2.04,-0.94,-0.97,1.3,-0.99,-0.79,-0.83,1.38,-1.08,-0.85,-1.14,-0.8,-1.03,3.38,3.33
Courtney Lee,SG,34,DAL,24,9,345,40,82,0.488,21,47,0.447,19,35,0.543,0.616,6,7,0.857,7,25,32,12,18,6,11,33,107,2.05,-0.81,-0.86,-0.81,-0.84,0.39,-0.51,-0.62,1.04,-0.81,-0.84,0.3,1.01,-0.74,-0.78,0.7,-0.89,-0.76,-0.47,-0.55,-0.8,36.5,38.27
