Player,Pos,Age,Tm,G2019,GS,MP,FG,FGA,FGpct,3P,3PA,3Ppct,2P,2PA,2Ppct,eFGpct,FT,FTA,FTpct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,zAge,zGPlayed,zMP,zFG,zFGA,zFGpct,z3P,z3PA,z3Ppct,z2P,z2PA,z2Ppct,zeFGpct,zFT,zFTA,zFTpct,zTRB,zAST,zSTL,zBLK,zPTS,puntPctFV,puntASTFV
Marco Belinelli,SG,33,SAS,57,0,883,123,314,0.392,67,178,0.376,56,136,0.412,0.498,48,58,0.828,7,92,99,69,12,1,19,45,361,1.81,0.65,-0.12,-0.27,-0.13,-0.48,0.33,0.29,0.55,-0.5,-0.38,-0.76,-0.08,-0.27,-0.31,0.57,-0.49,-0.25,-0.69,-0.76,-0.2,120.48,122.23
Jordan Bell,C-PF,25,TOT,29,0,256,35,67,0.522,4,12,0.333,31,55,0.564,0.552,19,31,0.613,30,51,81,16,3,10,21,19,93,-0.14,-0.59,-0.98,-0.84,-0.89,0.7,-0.82,-0.86,0.25,-0.71,-0.75,0.47,0.42,-0.59,-0.56,-0.45,-0.6,-0.72,-1.03,-0.39,-0.83,36.02,37.55
DeAndre' Bembry,SG,25,ATL,43,4,915,104,228,0.456,15,65,0.231,89,163,0.546,0.489,26,48,0.542,34,118,152,81,55,19,60,84,249,-0.14,0.03,-0.07,-0.39,-0.39,0.1,-0.62,-0.5,-0.45,-0.22,-0.25,0.32,-0.17,-0.51,-0.41,-0.79,-0.17,-0.15,0.91,-0.03,-0.47,101.48,100.2
Dragan Bender,SF,22,TOT,16,3,286,41,92,0.446,15,43,0.349,26,49,0.531,0.527,10,14,0.714,16,57,73,28,4,9,21,42,107,-0.86,-1.16,-0.94,-0.8,-0.81,0.01,-0.62,-0.65,0.36,-0.75,-0.77,0.2,0.18,-0.69,-0.72,0.03,-0.65,-0.62,-0.99,-0.43,-0.8,42.02,42.48
Dāvis Bertāns,PF,27,WAS,54,4,1583,265,610,0.434,200,472,0.424,65,138,0.471,0.598,104,122,0.852,35,210,245,92,37,33,59,139,834,0.35,0.52,0.85,0.67,0.78,-0.1,2.75,2.33,0.88,-0.42,-0.37,-0.29,0.84,0.37,0.27,0.68,0.4,-0.05,0.24,0.54,0.91,266.82,283.05
Patrick Beverley,PG,31,LAC,51,50,1342,147,341,0.431,80,206,0.388,67,135,0.496,0.548,31,47,0.66,57,209,266,183,54,25,66,156,405,1.32,0.38,0.52,-0.11,-0.04,-0.13,0.57,0.48,0.63,-0.41,-0.38,-0.08,0.38,-0.46,-0.41,-0.23,0.52,0.76,0.87,0.22,-0.1,174.03,168.1
Khem Birch,C,27,ORL,48,24,922,73,143,0.51,0,1,0,73,142,0.514,0.51,66,101,0.653,91,129,220,50,20,23,31,91,212,0.35,0.25,-0.06,-0.59,-0.65,0.59,-0.89,-0.94,-2.04,-0.35,-0.35,0.06,0.03,-0.06,0.08,-0.26,0.25,-0.42,-0.4,0.14,-0.55,86.1,88.98
Goga Bitadze,C,20,IND,54,2,471,70,150,0.467,8,42,0.19,62,108,0.574,0.493,24,33,0.727,25,81,106,23,10,37,28,65,172,-1.35,0.52,-0.69,-0.61,-0.63,0.2,-0.74,-0.66,-0.73,-0.45,-0.51,0.55,-0.13,-0.54,-0.54,0.09,-0.45,-0.66,-0.77,0.71,-0.65,66.28,69.3
Bismack Biyombo,C,27,CHO,53,29,1029,151,278,0.543,0,0,0,151,278,0.543,0.543,91,151,0.603,120,188,308,50,10,49,48,116,393,0.35,0.47,0.08,-0.08,-0.24,0.89,-0.89,-0.95,-2.04,0.31,0.27,0.3,0.33,0.22,0.53,-0.5,0.78,-0.42,-0.77,1.19,-0.13,136.8,143.5
Nemanja Bjelica,PF,31,SAC,72,67,2011,314,653,0.481,134,320,0.419,180,333,0.541,0.583,69,84,0.821,111,347,458,203,62,40,99,216,831,1.32,1.31,1.44,0.99,0.92,0.33,1.55,1.27,0.85,0.55,0.52,0.28,0.7,-0.03,-0.08,0.53,1.69,0.93,1.17,0.83,0.9,301.45,303.53
Eric Bledsoe,PG,30,MIL,61,61,1646,334,703,0.475,74,215,0.344,260,488,0.533,0.528,169,214,0.79,43,239,282,328,57,26,148,128,911,1.08,0.82,0.94,1.12,1.07,0.27,0.46,0.54,0.33,1.24,1.22,0.22,0.19,1.1,1.11,0.39,0.62,2.04,0.98,0.26,1.09,298.88,279.58
Bogdan Bogdanović,SG,27,SAC,61,28,1766,337,766,0.44,164,441,0.372,173,325,0.532,0.547,86,116,0.741,26,181,207,207,64,15,102,133,924,0.35,0.82,1.1,1.14,1.26,-0.05,2.1,2.11,0.52,0.5,0.48,0.21,0.37,0.16,0.21,0.15,0.17,0.97,1.24,-0.19,1.12,299.65,298.95
Bojan Bogdanović,SF,30,UTA,63,63,2083,418,935,0.447,189,457,0.414,229,478,0.479,0.548,250,277,0.903,39,220,259,131,34,7,159,110,1275,1.08,0.91,1.54,1.67,1.78,0.02,2.55,2.22,0.81,0.97,1.18,-0.22,0.38,2.02,1.68,0.92,0.48,0.3,0.13,-0.51,1.94,360.15,374.35
Bol Bol,SF,20,DEN,7,0,87,14,28,0.5,4,9,0.444,10,19,0.526,0.571,8,10,0.8,5,14,19,6,2,6,10,11,40,-1.35,-1.56,-1.22,-0.98,-1.01,0.5,-0.82,-0.88,1.02,-0.89,-0.91,0.16,0.59,-0.72,-0.75,0.43,-0.97,-0.81,-1.07,-0.55,-0.96,13.55,14.05
Jonah Bolden,PF,24,TOT,7,0,47,4,11,0.364,0,4,0,4,7,0.571,0.364,2,4,0.5,3,6,9,0,3,2,2,10,10,-0.38,-1.56,-1.27,-1.05,-1.06,-0.74,-0.89,-0.92,-2.04,-0.94,-0.96,0.52,-1.33,-0.79,-0.81,-0.98,-1.03,-0.86,-1.03,-0.72,-1.03,4.92,5.47
Marques Bolden,C,21,CLE,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,-1.11,-1.83,-1.33,-1.07,-1.09,-4.06,-0.89,-0.95,-2.04,-0.98,-1,-4.1,-4.7,-0.81,-0.84,-3.34,-1.08,-0.86,-1.1,-0.8,-1.05,0.45,0.52
Jordan Bone,PG,22,DET,10,0,53,5,20,0.25,2,10,0.2,3,10,0.3,0.3,0,0,0,0,4,4,8,1,0,2,6,12,-0.86,-1.43,-1.26,-1.04,-1.03,-1.78,-0.85,-0.88,-0.67,-0.95,-0.95,-1.67,-1.92,-0.81,-0.84,-3.34,-1.06,-0.79,-1.1,-0.8,-1.02,6.58,6
Isaac Bonga,SF,20,WAS,66,49,1250,118,234,0.504,25,71,0.352,93,163,0.571,0.558,69,85,0.812,71,151,222,76,45,22,58,156,330,-1.35,1.05,0.39,-0.3,-0.37,0.54,-0.44,-0.45,0.38,-0.18,-0.25,0.52,0.47,-0.03,-0.07,0.49,0.26,-0.19,0.54,0.1,-0.28,123.4,125.65
Devin Booker,SG,23,PHO,70,70,2512,627,1283,0.489,141,398,0.354,486,885,0.549,0.544,468,509,0.919,29,268,297,456,49,18,264,213,1863,-0.62,1.22,2.13,3.04,2.85,0.4,1.68,1.81,0.4,3.16,3.03,0.34,0.34,4.48,3.8,0.99,0.71,3.17,0.68,-0.07,3.32,515.65,493.95
Chris Boucher,PF,27,TOR,62,0,819,141,299,0.472,38,118,0.322,103,181,0.569,0.535,91,116,0.784,107,170,277,26,22,61,28,114,411,0.35,0.87,-0.21,-0.15,-0.17,0.25,-0.2,-0.13,0.18,-0.1,-0.17,0.51,0.26,0.22,0.21,0.36,0.59,-0.63,-0.32,1.68,-0.09,146.78,159.32
Brian Bowen,SG,21,IND,6,1,31,3,10,0.3,0,2,0,3,8,0.375,0.3,0,0,0,1,6,7,0,0,1,1,3,6,-1.11,-1.61,-1.29,-1.05,-1.06,-1.32,-0.89,-0.93,-2.04,-0.95,-0.96,-1.06,-1.92,-0.81,-0.84,-3.34,-1.04,-0.86,-1.14,-0.76,-1.04,3.3,3.55
Ky Bowman,PG,22,GSW,45,12,1015,134,321,0.417,33,107,0.308,101,214,0.472,0.469,34,41,0.829,24,97,121,131,44,10,70,102,335,-0.86,0.12,0.06,-0.19,-0.11,-0.26,-0.29,-0.21,0.08,-0.12,-0.02,-0.28,-0.35,-0.42,-0.47,0.57,-0.35,0.3,0.5,-0.39,-0.26,125.28,117.8
Avery Bradley,SG,29,LAL,49,44,1186,170,383,0.444,63,173,0.364,107,210,0.51,0.526,20,24,0.833,18,97,115,63,43,5,47,110,423,0.83,0.29,0.3,0.04,0.08,-0.01,0.26,0.25,0.47,-0.07,-0.04,0.03,0.18,-0.58,-0.62,0.59,-0.39,-0.31,0.46,-0.59,-0.06,138.65,141.35
Tony Bradley,C,22,UTA,58,3,663,126,189,0.667,3,3,1,123,186,0.661,0.675,30,46,0.652,111,156,267,23,14,33,30,115,285,-0.86,0.69,-0.42,-0.25,-0.51,2.03,-0.84,-0.93,4.85,0.07,-0.15,1.25,1.56,-0.47,-0.42,-0.27,0.53,-0.66,-0.62,0.54,-0.38,102.6,108.88
Jarrell Brantley,PF,23,UTA,9,0,96,10,28,0.357,3,13,0.231,7,15,0.467,0.411,1,2,0.5,2,18,20,11,3,5,7,7,24,-0.62,-1.47,-1.2,-1.01,-1.01,-0.8,-0.84,-0.86,-0.45,-0.92,-0.93,-0.32,-0.89,-0.8,-0.83,-0.98,-0.97,-0.77,-1.03,-0.59,-0.99,12.35,12.12
Ignas Brazdeikis,SF,21,NYK,9,0,53,6,22,0.273,1,9,0.111,5,13,0.385,0.295,4,5,0.8,2,3,5,4,0,1,2,3,17,-1.11,-1.47,-1.26,-1.03,-1.03,-1.57,-0.87,-0.88,-1.28,-0.93,-0.94,-0.98,-1.97,-0.76,-0.8,0.43,-1.06,-0.83,-1.14,-0.76,-1.01,6.92,6.95
Corey Brewer,SG,33,SAC,5,0,33,2,4,0.5,0,1,0,2,3,0.667,0.5,1,3,0.333,2,6,8,2,4,0,2,7,5,1.81,-1.65,-1.29,-1.06,-1.08,0.5,-0.89,-0.94,-2.04,-0.96,-0.98,1.3,-0.07,-0.8,-0.82,-1.77,-1.04,-0.85,-0.99,-0.8,-1.04,3.28,3.43
