Player,Pos,Age,Tm,G2019,MP,FGA,3P,3PA,FTA,TRB,STL,BLK,PTS,puntASTFV
Skal Labissière,C,23,POR,33,567,147,3,13,33,169,7,31,190,74.97
Jeremy Lamb,SG,27,IND,46,1291,479,53,158,110,200,55,22,577,189
Romeo Langford,SG,20,BOS,32,370,80,5,27,25,41,8,8,79,32.72
Zach LaVine,SG,24,CHI,60,2085,1199,184,484,334,289,88,28,1530,452.4
Vic Law,SF,24,ORL,8,62,18,1,7,6,11,2,0,15,7.18
Jake Layman,PF,25,MIN,23,505,179,24,72,32,57,17,10,210,68.47
T.J. Leaf,PF,22,IND,28,222,86,5,18,16,71,10,4,84,36.73
Jalen Lecque,PG,19,PHO,5,32,10,0,4,2,2,0,0,10,3.33
Courtney Lee,SG,34,DAL,24,345,82,21,47,7,32,18,6,107,38.27
Damion Lee,SG,27,GSW,49,1423,511,85,239,126,239,50,6,621,211.5
Alex Len,C,26,TOT,55,970,319,16,59,105,321,23,48,438,161.25
Kawhi Leonard,SF,28,LAC,57,1848,1133,123,325,402,402,103,33,1543,451
Meyers Leonard,C,27,MIA,51,1034,234,53,128,28,260,14,15,309,126.82
Caris LeVert,SG,25,BRK,45,1330,732,80,220,197,189,53,10,842,255.98
Damian Lillard,PG,29,POR,66,2474,1349,270,674,518,284,70,22,1978,553.7
Nassir Little,PF,19,POR,48,573,151,14,59,44,108,13,14,172,68.83
Kevon Looney,C,23,GSW,20,262,79,1,14,12,66,12,6,68,32.27
Brook Lopez,C,31,MIL,68,1817,671,102,325,152,312,46,163,813,296.7
Robin Lopez,C,31,MIL,66,958,299,35,105,53,161,10,45,357,126.78
Kevin Love,PF,31,CLE,56,1780,727,146,390,219,547,33,19,987,348.58
Kyle Lowry,PG,33,TOR,58,2098,803,164,466,343,292,82,26,1126,358
Timothé Luwawu-Cabarrot,SG,24,BRK,47,853,269,62,160,81,127,18,7,365,122.65
Trey Lyles,PF,24,SAS,63,1271,343,65,168,45,361,28,28,404,175.05
Daryl Macon,SG,24,MIA,4,14,3,1,2,0,0,0,0,3,1.25
J.P. Macura,SG,24,CLE,1,1,0,0,0,0,0,0,0,0,0.07
Josh Magette,PG,30,ORL,8,38,15,1,4,2,6,3,1,12,5.62
Ian Mahinmi,C,33,WAS,38,808,210,5,26,113,218,31,44,283,111.4
Thon Maker,C,22,DET,60,776,193,22,64,110,167,25,39,281,106.62
Terance Mann,SG,23,LAC,41,362,79,7,20,27,55,11,5,99,37.73
Boban Marjanović,C,31,DAL,44,422,211,4,17,57,197,8,10,289,97.4
Lauri Markkanen,PF,22,CHI,50,1492,591,109,317,153,313,42,23,737,256.72
Caleb Martin,SF,24,CHO,18,317,84,20,37,21,38,12,7,111,38.5
Cody Martin,SF,24,CHO,48,903,207,18,77,65,158,39,9,238,96.22
Jeremiah Martin,PG,23,BRK,9,99,53,5,18,14,10,7,2,64,19.5
Kelan Martin,SF,24,MIN,31,495,181,25,96,31,96,7,9,197,73.73
Frank Mason III,PG,25,MIL,9,118,51,6,21,17,19,5,1,62,20.45
Garrison Mathews,SG,23,WAS,18,227,56,19,46,34,24,8,1,98,31.68
Wesley Matthews,SG,33,MIL,67,1635,422,108,297,68,166,38,9,494,180.1
Luc Mbah a Moute,PF,33,HOU,3,25,5,0,2,2,2,2,0,5,2.2
Patrick McCaw,SF,24,TOR,37,908,162,23,71,18,86,39,4,170,68.68
CJ McCollum,SG,28,POR,70,2556,1356,194,512,185,297,54,42,1556,466.2
T.J. McConnell,PG,27,IND,71,1326,411,5,17,42,189,56,11,464,146.83
Jalen McDaniels,PF,22,CHO,16,293,70,9,24,17,65,8,3,89,34.5
Doug McDermott,PF,28,IND,69,1372,547,128,294,58,174,12,5,710,218.22
