Player,Pos,Age,Tm,G2019,MP,FGA,3P,3PA,FTA,TRB,AST,STL,BLK,PTS,puntPctFV
Trey Burke,PG,27,TOT,33,520,209,32,75,29,50,83,16,2,243,80.3
Alec Burks,SG,28,TOT,66,1754,768,116,301,265,282,189,62,17,993,307.9
Deonte Burton,SG,26,OKC,39,356,125,10,53,14,57,17,7,10,104,43.8
Jimmy Butler,SF,30,MIA,58,1959,758,29,119,525,386,350,103,32,1157,355.62
Bruno Caboclo,C,24,TOT,30,244,89,6,33,9,60,12,15,17,90,37.88
Devontae Cacok,C,23,LAL,1,9,6,0,0,0,5,1,0,0,6,2.17
Kentavious Caldwell-Pope,SG,26,LAL,69,1762,507,92,239,102,142,111,57,14,645,200.7
Vlatko Čančar,SF,22,DEN,14,45,15,1,6,4,10,3,1,1,17,7.05
Clint Capela,C,25,HOU,39,1279,388,0,0,104,537,48,33,72,543,198.45
DeMarre Carroll,SF-PF,33,TOT,24,290,66,8,33,42,55,25,8,5,87,34.4
Jevon Carter,PG,24,PHO,58,945,243,62,146,27,118,84,47,17,287,111.95
Vince Carter,SF,43,ATL,60,876,304,61,202,29,124,48,23,25,298,116.57
Wendell Carter Jr.,C,20,CHI,43,1256,343,6,29,152,405,51,33,36,484,169.5
Michael Carter-Williams,SG,28,ORL,45,833,260,22,75,95,147,109,49,22,323,118.95
Alex Caruso,PG,25,LAL,64,1175,291,40,120,94,123,124,70,18,349,131.75
Willie Cauley-Stein,C,26,TOT,54,1097,302,0,1,66,315,70,49,61,390,146.58
Tyson Chandler,C,37,HOU,26,219,18,0,0,13,66,6,6,8,34,19.08
Wilson Chandler,SF,32,BRK,35,734,183,37,121,23,145,39,16,12,205,83.38
Joe Chealey,PG,24,CHO,4,33,7,0,4,2,0,1,4,0,2,2.12
Zylan Cheatham,SF,24,NOP,4,51,9,0,1,0,9,3,1,1,12,4.5
Chris Chiozza,PG,24,TOT,28,401,140,27,72,5,53,83,21,4,142,60.4
Marquese Chriss,PF,22,GSW,59,1196,385,8,39,156,365,114,39,62,548,190.58
Gary Clark,PF,25,TOT,42,567,133,39,111,10,110,17,6,22,156,65.03
Brandon Clarke,PF,23,MEM,58,1300,479,23,64,112,345,81,32,48,700,211.3
Jordan Clarkson,SG,27,TOT,71,1705,867,152,413,165,187,136,46,16,1078,314.88
Nicolas Claxton,PF,20,BRK,15,187,48,1,7,21,44,16,1,8,66,23.77
Chris Clemons,SG,22,HOU,33,291,142,37,107,11,30,27,9,6,161,55.13
Antonius Cleveland,SG,25,DAL,11,46,14,0,3,5,7,1,1,3,11,5.38
Amir Coffey,SG,22,LAC,18,159,54,6,19,11,16,14,5,2,58,20.45
John Collins,PF,22,ATL,41,1363,605,59,147,150,416,60,31,66,885,262.82
Zach Collins,PF,22,POR,11,290,68,7,19,8,69,16,5,5,77,30.97
Mike Conley,PG,32,UTA,47,1363,567,96,256,139,151,208,36,5,675,220.47
