Player,Pos,Age,Tm,G2019,MP,FGA,3P,3PA,FTA,TRB,STL,BLK,PTS,puntASTFV
Daniel Theis,C,27,BOS,65,1566,426,32,96,114,426,37,84,601,207.88
Tristan Thompson,C,28,CLE,57,1721,562,9,23,161,577,33,50,684,239.38
Matisse Thybulle,SG,22,PHI,65,1287,265,56,157,41,107,94,47,305,121.33
Anthony Tolliver,PF,34,TOT,55,872,182,49,145,29,154,19,11,200,88.78
Gary Trent Jr.,SG,21,POR,61,1332,441,112,268,45,100,48,16,541,173.15
P.J. Tucker,PF,34,HOU,72,2467,426,107,299,48,476,77,36,500,222.33
Myles Turner,C,23,IND,62,1826,587,86,250,169,407,46,132,749,268.05
Jonas Valančiūnas,C,27,MEM,70,1845,739,32,91,200,788,30,76,1044,342.22
Fred VanVleet,PG,25,TOR,54,1928,773,146,374,198,203,100,17,952,296.55
Nikola Vučević,C,29,ORL,62,1998,1033,98,289,167,673,54,47,1215,398.85
Kemba Walker,PG,29,BOS,56,1742,889,180,473,242,217,48,28,1145,342.93
Lonnie Walker,SG,21,SAS,61,988,357,41,101,61,139,32,14,389,127.78
Brad Wanamaker,PG,30,BOS,71,1369,362,37,102,136,144,61,14,487,148.85
T.J. Warren,SF,26,IND,67,2202,997,91,226,204,280,78,34,1326,358
P.J. Washington,PF,21,CHO,58,1759,589,86,230,136,316,51,44,710,238.18
Russell Westbrook,PG,31,HOU,57,2049,1281,55,213,380,451,93,20,1553,438.85
Coby White,SG,19,CHI,65,1674,792,133,376,129,230,49,6,859,278.35
Derrick White,SG,25,SAS,68,1677,552,79,216,211,223,44,59,765,233.3
Hassan Whiteside,C,30,POR,67,2008,702,4,7,239,905,26,196,1040,359.08
Andrew Wiggins,SF-SG,24,TOT,54,1858,978,111,334,268,274,45,53,1175,347.55
Grant Williams,PF,21,BOS,69,1043,211,24,96,54,178,30,36,237,99.3
Lou Williams,SG,33,LAC,65,1864,936,111,315,339,201,43,12,1185,333.05
Marvin Williams,PF,33,TOT,58,1129,267,56,156,57,183,36,30,343,126.6
Christian Wood,PF,24,DET,62,1325,508,54,140,242,390,34,54,810,245.8
Delon Wright,SG,27,DAL,73,1570,411,47,127,100,280,85,22,504,178.35
Thaddeus Young,PF,31,CHI,64,1591,601,79,222,72,315,92,23,659,231.15
Trae Young,PG,21,ATL,60,2120,1249,205,568,559,255,65,8,1778,488.82
Cody Zeller,C,27,CHO,58,1341,479,18,75,179,411,40,25,642,208.82
Ivica Zubac,C,22,LAC,72,1326,385,0,2,166,543,16,66,596,204.98
